CPI_Growth_Rate,RSXFS,Corn_Price,COVID_Var,Crude_Oil_Price,Date
0.213919133,337530000000.0,164.1141037,0,82.5073913043478,2007-10-01
0.593961787,341133000000.0,171.1139434,0,92.7313636363636,2007-11-01
-0.067086313,336189000000.0,180.2832637,0,91.5195238095238,2007-12-01
0.497057647,337412000000.0,206.5588043,0,92.0917391304348,2008-01-01
0.290411218,334584000000.0,220.0475977,0,94.722380952381,2008-02-01
0.866821293,335193000000.0,233.9259293,0,103.161904761905,2008-03-01
0.606477839,334843000000.0,246.6418625,0,110.033181818182,2008-04-01
0.842088603,337947000000.0,243.5317736,0,123.862272727273,2008-05-01
1.007699693,338311000000.0,287.1320709,0,132.760476190476,2008-06-01
0.525101113,336771000000.0,267.1414541,0,133.585217391304,2008-07-01
-0.399156226,334045000000.0,235.1594667,0,113.800476190476,2008-08-01
-1.010133328,314830000000.0,183.0247029,0,71.9634782608696,2008-10-01
-1.915289533,301332000000.0,164.3044002,0,52.7135,2008-11-01
-1.034247381,294025000000.0,158.909797,0,40.5117391304348,2008-12-01
0.435241738,298673000000.0,173.2951299,0,43.1745454545455,2009-01-01
0.497293304,297631000000.0,163.3999605,0,42.9105,2009-02-01
0.243174846,292300000000.0,164.5770304,0,46.5827272727273,2009-03-01
0.249636828,293614000000.0,168.7959054,0,50.5190909090909,2009-04-01
0.288876383,296501000000.0,180.0702121,0,57.5014285714286,2009-05-01
0.858989226,302169000000.0,179.3937946,0,68.58,2009-06-01
-0.158558692,302802000000.0,151.8002554,0,64.9043478260869,2009-07-01
0.224285004,309023000000.0,152.0362942,0,72.5919047619048,2009-08-01
0.096310119,304154000000.0,167.2791214,0,72.9686363636364,2009-10-01
0.070775337,306675000000.0,171.6868545,0,76.9366666666667,2009-11-01
-0.176119817,308413000000.0,164.6128196,0,74.7895652173913,2009-12-01
0.341747357,308346000000.0,167.3356308,0,76.6023809523809,2010-01-01
0.024920738,308435000000.0,161.9069613,0,73.903,2010-02-01
0.410628354,315771000000.0,158.9277694,0,79.5191304347826,2010-03-01
0.173688491,318646000000.0,157.2666427,0,85.1563636363636,2010-04-01
0.077519735,315356000000.0,163.2403005,0,76.1323809523809,2010-05-01
-0.097626708,314806000000.0,152.8739339,0,75.2463636363636,2010-06-01
0.021104306,315589000000.0,163.9217456,0,75.195,2010-07-01
0.138066428,317171000000.0,175.6001304,0,76.8918181818182,2010-08-01
0.124519889,324078000000.0,235.703123,0,83.3385714285714,2010-10-01
0.042064642,327340000000.0,238.2367488,0,85.8009090909091,2010-11-01
0.171844079,329684000000.0,250.6255509,0,91.96,2010-12-01
0.476323005,332082000000.0,265.285524,0,96.952380952381,2011-01-01
0.493136503,334619000000.0,293.396797,0,104.2385,2011-02-01
0.975107203,337859000000.0,290.4347217,0,114.917391304348,2011-03-01
0.643942954,339671000000.0,318.938776,0,123.325714285714,2011-04-01
0.470418753,339090000000.0,308.5752214,0,114.929545454545,2011-05-01
-0.107096706,341601000000.0,310.5364743,0,114.370454545455,2011-06-01
0.088604567,341366000000.0,300.8322095,0,117.483333333333,2011-07-01
0.27575889,341964000000.0,310.3071116,0,110.354782608696,2011-08-01
-0.206268263,347682000000.0,274.846376,0,110.429523809524,2011-10-01
-0.084356133,348930000000.0,274.2783489,0,111.158636363636,2011-11-01
-0.246651638,349671000000.0,258.5179405,0,108.347727272727,2011-12-01
0.440019143,352554000000.0,272.9201455,0,111.415,2012-01-01
0.440297355,357205000000.0,279.5143214,0,119.165714285714,2012-02-01
0.759455862,358614000000.0,280.715052,0,124.703181818182,2012-03-01
0.30210295,356588000000.0,274.2192966,0,120.47,2012-04-01
-0.117347937,355793000000.0,268.8849036,0,110.822173913043,2012-05-01
