Date,KO_Close,KO_Log_Return,SPY_Close,SPY_Log_Return,Excess_Return,Sugar_Price,Sugar_Log_Return,US_Sugar_Import,Seasonal_Pattern
2007-10-01,17.270633697509766,0.07248911155286031,152.58,0.03325088946839916,0.03923822208446115,9.994782609,0.01448490207373565,173112.0,-16881.20627193986
2007-11-01,18.559837341308594,0.07199237835185812,154.65,0.01347545046899512,0.058516927882863,9.896,-0.009932582650654886,189988.0,-12837.518295749385
2007-12-01,18.763303756713867,0.010903071126265651,148.66,-0.039502679833931076,0.05040575096019673,10.44631579,0.05411872517730121,176532.0,-3082.9565352182467
2008-01-01,18.542747497558594,-0.011824292385260282,146.21,-0.01661787486780142,0.004793582482541137,11.65952381,0.10987398019825667,135461.16,-6537.092304449019
2008-02-01,17.82665252685547,-0.039384071740349746,137.37,-0.062365929092232264,0.022981857351882518,13.6075,0.15449777086047334,184278.69,-1479.7769839362045
2008-03-01,17.663496017456055,-0.009194532315009774,133.82,-0.02618240198244326,0.016987869667433486,12.8765,-0.05521716670821286,155495.0,3860.127278884307
2008-04-01,18.509950637817383,0.046808321730085645,131.97,-0.013920989325932887,0.06072931105601853,12.52272727,-0.027858769601137645,266711.0,-2502.030855273208
2008-05-01,17.90176010131836,-0.03340942210201492,138.26,0.04656134648838073,-0.07997076859039565,10.9347619,-0.135598295244995,222761.0,-262.7827302732078
2008-06-01,17.41217803955078,-0.02772918895118437,140.35,0.015003332290772775,-0.042732521241957144,12.0652381,0.09838155388039027,187880.5,12557.760097107748
2008-07-01,15.910809516906738,-0.09017112667640204,127.98,-0.09226530109657727,0.002094174420175232,13.20772727,0.09047362390319114,170441.5,-760.9220159874818
2008-08-01,15.763885498046875,-0.009277126270114344,126.83,-0.009026394631976409,-0.0002507316381379354,13.68142857,0.035237276818343766,290318.0,19762.25834115538
2008-10-01,16.301420211791992,0.02252313871070033,115.99,-0.10467919041079377,0.1272023291214941,11.70217391,-0.18074421726183498,366524.0,8164.1402756791795
2008-11-01,13.582456588745117,-0.1824732302532004,96.83,-0.1805471168703452,-0.001926113382855199,11.82842105,0.010730570273097761,251434.0,-16881.20627193986
2008-12-01,14.57155990600586,0.07029267402385653,90.09,-0.07214769296009127,0.1424403669839478,11.32,-0.04393412631579974,230678.0,-12837.518295749385
2009-01-01,14.07413101196289,-0.03473324505084863,90.24,0.001663617086400393,-0.03639686213724902,12.244,0.07846494830812922,219996.0,-3082.9565352182467
2009-02-01,13.281351089477539,-0.057977554756017735,82.83,-0.08568247313957666,0.02770491838355893,13.31210526,0.08363777011586793,141597.0,-6537.092304449019
2009-03-01,12.69997787475586,-0.04476062622091792,73.93,-0.11367161504116385,0.06891098882024593,12.92818182,-0.02926422547216223,266800.0,-1479.7769839362045
2009-04-01,13.808324813842773,0.0836714063446915,79.52,0.0728898627793102,0.010781543565381302,13.46952381,0.04102007217741255,308008.0,3860.127278884307
2009-05-01,13.52556037902832,-0.020690400958092603,87.42,0.0947155270868496,-0.11540592804494221,15.466,0.1382144282825597,292690.0,-2502.030855273208
2009-06-01,15.445212364196777,0.13271781927679704,92.53,0.05680882682577071,0.07590899245102634,16.57590909,0.06930631543986099,186936.0,-262.7827302732078
2009-07-01,15.206409454345703,-0.015582062380739892,91.95,-0.006287965210608704,-0.009294097170131188,17.80454545,0.07150340543146738,274877.0,12557.760097107748
2009-08-01,15.79261589050293,0.03782546848865653,98.81,0.07195386315654151,-0.034128394667884976,21.72,0.1987797080075624,150745.0,-760.9220159874818
2009-10-01,17.15477180480957,0.10443716993909602,105.59,0.030091191307366927,0.07434597863172909,23.16090909,-0.012465508341070297,281969.0,19762.25834115538
2009-11-01,17.030176162719727,-0.00728953537860999,103.56,-0.019412514935086556,0.012122979556476565,22.769,-0.017065942849077587,192932.0,8164.1402756791795
